LOCATION,LAT,LONG,POPULATION
ARGENTINA/SANTA FE/CASTELLANOS/SUNCHALES,-30.9449335410826,-61.560710584756606,
ARGENTINA/SANTA FE/CASTELLANOS/SUSANA,-31.355813811967696,-61.5154833033625,
ARGENTINA/SANTA FE/CASTELLANOS/TACURAL,-30.8462179543261,-61.5918440139922,
ARGENTINA/SANTA FE/CASTELLANOS/TACURALES,-30.8218594391567,-61.7448134402561,
ARGENTINA/SANTA FE/CASTELLANOS/VILA,-31.190906353350503,-61.83372496011721,
ARGENTINA/SANTA FE/CASTELLANOS/VILLA SAN JOSE,-31.336732814902398,-61.621552972591,
ARGENTINA/SANTA FE/CASTELLANOS/VIRGINIA,-30.739120226282395,-61.341986594513905,
ARGENTINA/SANTA FE/CASTELLANOS/ZENON PEREYRA,-31.5598465547051,-61.89560191382521,
ARGENTINA/SANTA FE/CONSTITUCION/ALCORTA,-33.5407800505296,-61.1240231413921,
ARGENTINA/SANTA FE/CONSTITUCION/BOMBAL,-33.457901982166604,-61.31817367308621,
ARGENTINA/SANTA FE/CONSTITUCION/CANADA RICA,-33.5155285125481,-60.6119605358089,
ARGENTINA/SANTA FE/CONSTITUCION/CEPEDA,-33.397206851696,-60.6237178236743,
ARGENTINA/SANTA FE/CONSTITUCION/EMPALME VILLA CONSTITUCION,-33.2605632489291,-60.3819685053875,
ARGENTINA/SANTA FE/CONSTITUCION/GENERAL GELLY,-33.599682295974105,-60.5956421549745,
ARGENTINA/SANTA FE/CONSTITUCION/GODOY,-33.3683838811915,-60.507750031795595,
ARGENTINA/SANTA FE/CONSTITUCION/JUAN B. MOLINA,-33.4942973245847,-60.51260830423929,
ARGENTINA/SANTA FE/CONSTITUCION/JUNCAL,-33.7153188023253,-61.049228006505395,
ARGENTINA/SANTA FE/CONSTITUCION/LA VANGUARDIA,-33.358142916351106,-60.65700078358189,
ARGENTINA/SANTA FE/CONSTITUCION/MAXIMO PAZ,-33.4848206860162,-60.9572223592204,
ARGENTINA/SANTA FE/CONSTITUCION/PAVON,-33.2419983538825,-60.405247978740505,
